::1 - Thu Dec 26 2019 16:03:47 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 22 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:03:49 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 404 35 - 10 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET / HTTP/1.1 200 749 - 124 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 64 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 38 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 84 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 73 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:32 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 88 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:33 GMT-0500 (Eastern Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 32 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:38 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 404 35 - 4 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 200 726 - 181 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 4 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:14:52 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 2 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 200 - - 146 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 4 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 2 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 2 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:10 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:15:11 GMT-0500 (Eastern Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 6 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:28 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 127 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:29 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 13 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:30 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 22 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:30 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 13 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:30 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 25 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:30 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 14 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:16:31 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 20 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:14 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 98 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:15 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 16 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:15 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 12 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:16 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 500 35 - 14 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET / HTTP/1.1 304 - - 51 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 5 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 12 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 2 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 1 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 71 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:17:17 GMT-0500 (Eastern Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 2 http://localhost:3000/ Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
